FID,OBJECTID,segmentmil,SegmentID,LaneMiles,BikeID,Shape_Leng,OBJECTID_1,street,boro,facilitycl,fromstreet,tostreet,lasteditby,onoffst,allclasses,instdate,moddate,comments,bikedir,lanecount,ft_facilit,tf_facilit
0,1,0.049849296,33547,0.049849302,65,263.2042807,64,9 AV,1,I,W 16 ST,W 31 ST,DCP,ON,I,2008-09-25,2008-09-25, ,L,1, ,Protected Path
1,2,0.051508107,22630,0.051508099,916,271.9628068,908,3 AV,3,II,DEAN ST,15 ST,DCP,ON,II,1980-07-01,1980-07-01, ,R,1,Standard, 
2,3,0.069931452,299123,0.0699315,972,369.238067,964,ADAMS ST,3,III,TILLARY ST,SANDS ST,BDH,ON,III,2006-06-01,2017-07-01,downgrade to shared,L,1, ,Sharrows
3,4,0.192898877,34170,0.192899004,558,1018.506071,550,W 39 ST,1,III,5 AV,8 AV,DCP,ON,III,2012-09-12,2012-09-12, ,R,1,Sharrows, 
4,5,0.051183757,43043,0.051183801,1476,270.2502372,1468,THROOP AV,3,II,FLUSHING AV,FULTON ST,DCP,ON,II,2003-06-01,2003-06-01, ,L,1, ,Standard
5,6,0.049647853,22547,0.049647901,1232,262.1406626,1224,HOYT ST,3,III,DOUGLASS ST,3 ST,ASW,ON,III,2010-06-01,2010-06-01, ,R,1,Sharrows, 
6,7,0.074636717,35845,0.074636698,577,394.0818662,569,W 51 ST,1,II,BROADWAY,5 AV,DCP,ON,II,2012-09-21,2012-09-21, ,R,1,Standard, 
7,8,0.006738602,196522,0.0067386,1978,35.5798194,1970,STATE RD,4,II,BEACH 193 ST,BEACH 169 ST,DCP,ON,II,1997-05-01,1997-05-01, ,L,1, ,Curbside
8,9,0.024956816,53,0.0499136,2030,131.7719902,2022,CONFERENCE HOUSE PARK GREENWAY,5,I,HYLAN BLVD,SWINNERTON ST,DCP,OFF,I,2005-06-01,2005-06-01, ,2,2,Greenway,Greenway
9,10,0.050888178,57,0.101775996,2030,268.6895824,2022,CONFERENCE HOUSE PARK GREENWAY,5,I,HYLAN BLVD,SWINNERTON ST,DCP,OFF,I,2005-06-01,2005-06-01, ,2,2,Greenway,Greenway
10,11,0.079582055,59,0.159163997,2030,420.1932526,2022,CONFERENCE HOUSE PARK GREENWAY,5,I,HYLAN BLVD,SWINNERTON ST,DCP,OFF,I,2005-06-01,2005-06-01, ,2,2,Greenway,Greenway
11,12,0.045121628,61,0.090243302,2030,238.2421978,2022,CONFERENCE HOUSE PARK GREENWAY,5,I,HYLAN BLVD,SWINNERTON ST,DCP,OFF,I,2005-06-01,2005-06-01, ,2,2,Greenway,Greenway
12,13,0.122404135,64,0.244808003,2030,646.2938324,2022,CONFERENCE HOUSE PARK GREENWAY,5,I,HYLAN BLVD,SWINNERTON ST,DCP,OFF,I,2005-06-01,2005-06-01, ,2,2,Greenway,Greenway
13,14,0.047858737,139,0.095717497,2030,252.6941331,2022,CONFERENCE HOUSE PARK GREENWAY,5,I,HYLAN BLVD,SWINNERTON ST,DCP,OFF,I,2005-06-01,2005-06-01, ,2,2,Greenway,Greenway
14,15,0.051943904,141,0.103887998,2030,274.2638151,2022,CONFERENCE HOUSE PARK GREENWAY,5,I,HYLAN BLVD,SWINNERTON ST,DCP,OFF,I,2005-06-01,2005-06-01, ,2,2,Greenway,Greenway
15,16,0.052198192,145,0.104396001,2030,275.6064563,2022,CONFERENCE HOUSE PARK GREENWAY,5,I,HYLAN BLVD,SWINNERTON ST,DCP,OFF,I,2005-06-01,2005-06-01, ,2,2,Greenway,Greenway
16,17,0.046302465,157,0.092604898,2030,244.4770141,2022,CONFERENCE HOUSE PARK GREENWAY,5,I,HYLAN BLVD,SWINNERTON ST,DCP,OFF,I,2005-06-01,2005-06-01, ,2,2,Greenway,Greenway
17,18,0.049152737,233,0.098305501,2030,259.5264501,2022,CONFERENCE HOUSE PARK GREENWAY,5,I,HYLAN BLVD,SWINNERTON ST,DCP,OFF,I,2005-06-01,2005-06-01, ,2,2,Greenway,Greenway
18,19,0.130736155,735,0.261471987,2044,690.2868993,2036,HYLAN BLVD,5,II,PAGE AV,POILLON AV,DCP,ON,II,2007-10-01,2007-10-01, ,2,2,Standard,Standard
19,20,0.09868769,812,0.197375,2047,521.0710037,2039,HYLAN BLVD,5,II,PAGE AV,POILLON AV,DCP,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
20,21,0.057430794,816,0.114862002,2047,303.2345908,2039,HYLAN BLVD,5,II,PAGE AV,POILLON AV,DCP,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
21,22,0.158418428,841,0.316837013,2068,836.4492985,2060,MOUNT LORETTO GREENWAY,5,I,HYLAN BLVD,HYLAN BLVD,BDH,OFF,I,1900-01-01,1900-01-01, ,2,2,Greenway,Greenway
22,23,0.051645271,844,0.103290997,2047,272.6870324,2039,HYLAN BLVD,5,II,PAGE AV,POILLON AV,DCP,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
23,24,0.028015199,847,0.0560304,2047,147.9202521,2039,HYLAN BLVD,5,II,PAGE AV,POILLON AV,DCP,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
