FID,allclasses,bikedir,boro,comments,facilitycl,fromstreet,ft_facilit,date_instd,time_instd,lanecount,date_modda,time_modda,onoffst,segment_id,street,tf_facilit,tostreet
0,I,L,1, ,I,W 16 ST, ,2008-09-25,00:00:00.000,1,2008-09-25,00:00:00.000,ON,33547,9 AV,Protected Path,W 31 ST
1,II,R,3, ,II,DEAN ST,Standard,1980-07-01,00:00:00.000,1,1980-07-01,00:00:00.000,ON,22630,3 AV, ,15 ST
2,III,L,3,downgrade to shared,III,TILLARY ST, ,2006-06-01,00:00:00.000,1,2017-07-01,00:00:00.000,ON,299123,ADAMS ST,Sharrows,SANDS ST
3,III,R,1, ,III,5 AV,Sharrows,2012-09-12,00:00:00.000,1,2012-09-12,00:00:00.000,ON,34170,W 39 ST, ,8 AV
4,II,L,3, ,II,FLUSHING AV, ,2003-06-01,00:00:00.000,1,2003-06-01,00:00:00.000,ON,43043,THROOP AV,Standard,FULTON ST
5,III,R,3, ,III,DOUGLASS ST,Sharrows,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,22547,HOYT ST, ,3 ST
6,II,R,1, ,II,BROADWAY,Standard,2012-09-21,00:00:00.000,1,2012-09-21,00:00:00.000,ON,35845,W 51 ST, ,5 AV
7,II,L,4, ,II,BEACH 193 ST, ,1997-05-01,00:00:00.000,1,1997-05-01,00:00:00.000,ON,196522,STATE RD,Curbside,BEACH 169 ST
8,I,2,5, ,I,HYLAN BLVD,Greenway,2005-06-01,00:00:00.000,2,2005-06-01,00:00:00.000,OFF,53,CONFERENCE HOUSE PARK GREENWAY,Greenway,SWINNERTON ST
9,I,2,5, ,I,HYLAN BLVD,Greenway,2005-06-01,00:00:00.000,2,2005-06-01,00:00:00.000,OFF,57,CONFERENCE HOUSE PARK GREENWAY,Greenway,SWINNERTON ST
10,I,2,5, ,I,HYLAN BLVD,Greenway,2005-06-01,00:00:00.000,2,2005-06-01,00:00:00.000,OFF,59,CONFERENCE HOUSE PARK GREENWAY,Greenway,SWINNERTON ST
11,I,2,5, ,I,HYLAN BLVD,Greenway,2005-06-01,00:00:00.000,2,2005-06-01,00:00:00.000,OFF,61,CONFERENCE HOUSE PARK GREENWAY,Greenway,SWINNERTON ST
