FID,segmentid,street,boro,facilitycl,fromstreet,tostreet,onoffst,allclasses,instdate,moddate,comments,bikedir,lanecount,ft_facilit,tf_facilit
0,150483,63 AVE,4,III,WOODHAVEN BLVD,82 PLACE,ON,III,2016-11-25T00:00:00,2016-11-25T00:00:00, ,L,1, ,Sharrows
1,9009151,NEPTUNE AV,3,II,W 37 ST,BRIGHTON 8 ST,ON,II,2005-08-01T00:00:00,2005-08-01T00:00:00, ,L,1, ,Standard
2,252570,84 ST,4,II,SHORE PKWY SR,157 AV,ON,II,2008-04-01T00:00:00,2008-04-01T00:00:00, ,R,1,Standard, 
3,253073,P P BARTEL PRITCHARD SQ APPR,3,I,PROSPECT PARK W,WEST DR,OFF,I,1980-07-01T00:00:00,1980-07-01T00:00:00,Prospect Park Auto-Free Hours: Closed to Cars,2,2,Greenway,Greenway
4,313087,GREENWICH ST,1,II,CANAL ST,GANSEVOORT ST,ON,II,2008-04-01T00:00:00,2008-04-01T00:00:00, ,R,1,Standard, 
5,37218,COLUMBUS AV,1,I,W 96 ST,W 77 ST,ON,I,2010-08-01T00:00:00,2010-08-01T00:00:00, ,L,1, ,Protected Path
6,162747,WASHINGTON ST,3,III,PROSPECT ST,YORK ST,ON,III,2008-10-27T00:00:00,2008-10-27T00:00:00, ,L,1, ,Sharrows
7,27937,PROSPECT PARK SW,3,III,PARK CIR,WINDSOR PL,ON,III,2012-04-17T00:00:00,2012-04-17T00:00:00,"original installation had WPL on both sides, in 2015 an update changed it to one NB WPL",L,1, ,Bike-Friendly Parking
8,9005896,JACKSON ST,1,III,CHERRY ST,MADISON ST,ON,III,2017-07-05T00:00:00,2017-07-05T00:00:00, ,L,1, ,Sharrows
9,9008000,SANDS ST,3,I,NAVY ST,JAY ST GREENWAY,ON,I,2009-11-01T00:00:00,2009-11-01T00:00:00, ,R,1,Protected Path, 
10,70472,WALNUT AV,2,III,E 132 ST,E 138 ST,ON,III,2013-11-07T00:00:00,2013-11-07T00:00:00, ,2,2,Sharrows,Sharrows
11,29540,BERGEN ST,3,II,COURT ST,RALPH AV,ON,II,2003-11-01T00:00:00,2003-11-01T00:00:00, ,L,1, ,Standard
12,9004859,E NEW YORK AV,3,II,NEW YORK AV,UTICA AV,ON,II,2007-06-01T00:00:00,2007-06-01T00:00:00, ,L,1, ,Standard
13,18977,SHORE PKWY,3,III,CROPSEY AV,24 AV,ON,III,1998-07-01T00:00:00,1998-07-01T00:00:00, ,L,1, ,Signed Route
14,155708,CYPRESS HILLS ST,4,I,COOPER AVE,CEMETERY ENTRANCE,ON,I,2000-01-01T00:00:00,2017-12-30T00:00:00, ,R,1,Protected Path, 
15,243878,HARLEM RIVER DR GREENWAY,1,I,W 155 ST,10 AV,OFF,I,2003-08-01T00:00:00,2003-08-01T00:00:00, ,2,2,Greenway,Greenway
16,259081,FDR DR GREENWAY,1,I,E 125 ST,E 60 ST,OFF,I,1939-01-01T00:00:00,1939-01-01T00:00:00, ,2,2,Greenway,Greenway
17,45366,KNICKERBOCKER AVE,3,II,COOPER AVE,FLUSHING AVE,ON,II,2016-08-26T00:00:00,2016-08-26T00:00:00, ,L,1, ,Standard
18,15106,VAN DUZER ST,5,II,ROFF ST,CORNELL PL,ON,II,2017-10-17T00:00:00,2017-10-17T00:00:00, ,R,1,Curbside, 
19,133195,SHORE FRONT PKWY,4,I,SHORE FRONT PKWY CONNECTOR,BEACH 74 ST,ON,I,2006-09-01T00:00:00,2017-07-31T00:00:00, ,2,2,Protected Path,Protected Path
20,31367,MANHATTAN AV,3,III,BROADWAY,COOK ST,ON,III,2003-06-01T00:00:00,2003-06-01T00:00:00, ,R,1,Signed Route, 
21,49146,CYPRESS HILLS ST,4,III,MYRTLE AVE,COOPER AVE,ON,III,2014-11-10T00:00:00,2014-11-10T00:00:00, ,R,1,Sharrows, 
22,102946,82 AVE,4,II,COMMONWEALTH BLVD,268 ST,ON,II,2017-06-28T00:00:00,2017-06-28T00:00:00, ,2,2,Standard,Standard
23,118036,ORCHARD BEACH BOARDWALK,2,I,PELHAM BAY PARK,PELHAM BAY PARK,OFF,I,1938-07-01T00:00:00,1938-07-01T00:00:00,Bicycles permitted 6-9am only,2,2,Boardwalk,Boardwalk
24,165611,E 59 ST,1,II,2 AV,QBB on-ramp,ON,"III,II",2013-11-06T00:00:00,2013-11-06T00:00:00, ,2,2,Sharrows,Curbside
25,182615,260 ST,4,II,260 ST,260 ST,ON,II,2017-06-28T00:00:00,2017-06-28T00:00:00, ,R,1,Standard, 
26,242960,BROOKLYN BR,1,I,PARK ROW,TILLARY ST,ON,I,1966-01-01T00:00:00,1966-01-01T00:00:00,Bridge,2,2,Protected Path,Protected Path
27,258293,PETER MINUIT PLAZA GREENWAY,1,I,EAST RIVER ESPLANADE,BATTERY PARK GREENWAY,OFF,I,2010-08-01T00:00:00,2010-08-01T00:00:00, ,2,2,Greenway,Greenway
28,239907,HUNTS PT AVE,2,II,GARRISON AVE,BRUCKNER BLVD,ON,II,2015-10-01T00:00:00,2015-10-01T00:00:00, ,2,2,Standard,Standard
29,67552,29 ST,4,II,QUEENS PLZ N,34 AV,ON,II,2009-05-01T00:00:00,2009-05-01T00:00:00, ,L,1, ,Standard
30,146000,ROCKAWAY PKWY,3,II,EAST NEW YORK AV,DITMAS AV,ON,II,2010-10-01T00:00:00,2010-10-01T00:00:00, ,R,1,Standard, 
31,9002052,ST JOHNS PL,3,II,NEW YORK AVE,HOWARD AVE,ON,II,2016-09-20T00:00:00,2016-09-20T00:00:00, ,2,2,Standard,Standard
32,310692,CENTRAL PARK W,1,I,W 62 ST,W 77 ST,ON,I,2001-11-01,2019-08-19,Previously part of bikeid 180,R,1,Protected Path, 
33,238522,FT WASHINGTON PARK BICYCLE TRAIL,1,I,W 145 ST,W 181 ST,OFF,I,1999-07-01T00:00:00,1999-07-01T00:00:00, ,2,2,Greenway,Greenway
34,132255,80 ST,4,III,64 RD,JUNIPER BLVD S,ON,III,2015-11-01T00:00:00,2015-11-01T00:00:00, ,2,2,Sharrows,Sharrows
35,230764,OCEAN PKWY,3,I,SEA BREEZE AV,CHURCH AV,OFF,I,1900-01-01T00:00:00,1900-01-01T00:00:00,Bicycling Permitted on West Mall Only,2,2,Greenway,Greenway
36,17052,FT HAMILTON PARKWAY,3,III,92 ST,MARINE AVE,ON,III,2015-06-29T00:00:00,2015-06-29T00:00:00, ,2,2,Sharrows,Sharrows
37,115259,C P W 77 APPR,1,I,CENTRAL PARK W,WEST DR,OFF,I,1979-05-01T00:00:00,1979-05-01T00:00:00, ,2,2,Greenway,Greenway
38,130567,32 AVE,4,II,93 ST,74 ST,ON,II,2016-10-14T00:00:00,2016-10-14T00:00:00, ,L,1, ,Standard
39,311229,HUNTS PT AV,2,II,GARRISON AVE,SPOFFORD AVE,ON,II,2011-11-01T00:00:00,2011-11-01T00:00:00, ,2,2,Standard,Standard
40,113065,ST ANNS AV,2,III,E 135 ST,E 149 ST,ON,III,2003-05-01T00:00:00,2003-05-01T00:00:00, ,2,2,Sharrows,Sharrows
41,294522,WEST END AV,1,III,W 72 ST,W 107 ST,ON,III,2014-11-14T00:00:00,2014-11-14T00:00:00, ,2,2,Bike-Friendly Parking,Bike-Friendly Parking
42,259678,SHORE PKWY GREENWAY W,3,I,BAY PKWY,SHORE RD,OFF,I,1941-01-01T00:00:00,1941-01-01T00:00:00, ,2,2,Greenway,Greenway
43,150229,FRANCIS LEWIS BLVD,4,II,120 AV,121 AV,ON,II,2003-06-01T00:00:00,2003-06-01T00:00:00, ,R,1,Standard, 
44,37199,CENTRAL PARK W,1,I,W 62 ST,W 77 ST,ON,I,2001-11-01,2019-08-19,Previously part of bikeid 180,R,1,Protected Path, 
45,37749,1 AV,1,I,E 72 ST,E 96 ST,ON,I,1981-01-01T00:00:00,2013-10-10T00:00:00, ,R,1,Protected Path, 
46,145078,CROPSEY AV,3,III,NEPTUNE AV,SHORE PKWY SR N,ON,III,1998-07-01T00:00:00,1998-07-01T00:00:00, ,R,1,Signed Route, 
47,256700,BORINQUEN PL,3,II,MARCY AV,HOOPER ST,ON,II,2009-04-28T00:00:00,2009-04-28T00:00:00, ,R,1,Curbside, 
48,118044,MN BEACH BOARDWALK,3,I,OCEAN AV,MACKENZIE ST,OFF,I,1955-07-01T00:00:00,1955-07-01T00:00:00,Bicycles permitted 5-10am only,2,2,Boardwalk,Boardwalk
